"","PC1","PC2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P8_A_High_S3_July_soil",4.59899734825985,-0.503316100257968,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_root",-5.41332366984869,0.545926560343123,"P8","A","High","S3","Sept","root"
"P8_A_High_S3_Sept_soil",3.98058416183446,-0.461151279588516,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_root",-3.87562916180561,0.129764609154756,"P8","C","High","S1","July","root"
"P8_C_High_S1_July_soil",2.61184326144894,3.8566266287398,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",3.1386073471057,0.732914267069547,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_root",-3.48319280217418,-0.625346051556917,"P8","C","High","S3","July","root"
"P8_C_High_S3_July_soil",3.54421168122724,1.25419542998005,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",2.96580786425734,4.3557326386807,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_root",-5.89801059812868,0.0657802612719804,"P8","N","High","S2","July","root"
"P8_N_High_S2_July_soil",3.81015690388489,-0.293743727729859,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",3.58338049119529,4.00532353960134,"P8","N","High","S3","July","soil"
