"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P8_A_High_S3_July_root",-0.771419276962182,0.0590956543052549,"P8","A","High","S3","July","root"
"P8_A_High_S3_July_soil",0.720573793732258,-0.0443423543386722,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_root",-0.762144938941921,-0.00353132352262642,"P8","A","High","S3","Sept","root"
"P8_A_High_S3_Sept_soil",0.652133774401078,-0.0777076912156921,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_root",-0.703556527735315,-0.000686937613881124,"P8","C","High","S1","July","root"
"P8_C_High_S1_July_soil",0.4552764922001,-0.200995556609002,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",0.629066196735038,-0.138501568166903,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_root",-0.747103286844242,0.0470640945151167,"P8","C","High","S3","July","root"
"P8_C_High_S3_July_soil",0.624728148780741,-0.133776244174786,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",0.465160777498039,-0.185494130478693,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_root",-0.768723546747111,-0.00749549479871287,"P8","N","High","S2","July","root"
"P8_N_High_S2_July_soil",0.674152328981668,0.00859561878464633,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",0.539201231879078,-0.131274550353604,"P8","N","High","S3","July","soil"
