"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P8_A_High_S3_July_root",-0.644649893803675,0.0493843081315803,"P8","A","High","S3","July","root"
"P8_A_High_S3_July_soil",0.602159984174188,-0.0370554572190595,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_root",-0.636899632436854,-0.00295101172842371,"P8","A","High","S3","Sept","root"
"P8_A_High_S3_Sept_soil",0.544966895394363,-0.0649377794747285,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_root",-0.587939210795335,-0.000574051327291275,"P8","C","High","S1","July","root"
"P8_C_High_S1_July_soil",0.380459694375115,-0.167965421778481,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",0.525690074167805,-0.115741236804501,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_root",-0.62432981506648,0.0393299265875404,"P8","C","High","S3","July","root"
"P8_C_High_S3_July_soil",0.522064909180918,-0.111792437881946,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",0.388719668759906,-0.155011386266093,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_root",-0.642397160110381,-0.00626374018682078,"P8","N","High","S2","July","root"
"P8_N_High_S2_July_soil",0.563367082291408,0.00718307786981939,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",0.450592858190525,-0.109701854065444,"P8","N","High","S3","July","soil"
