"","name","xend","yend","coord","cos2","contrib"
"4Hydroxyphenylacetate","4Hydroxyphenylacetate",-1.63500409061909,2.4360591846346,0.199443475170004,0.199443475170004,1.02960645620103
"Adenosine","Adenosine",-5.41447914721889,-0.624349967020152,0.688313986721561,0.688313986721561,3.55335026136054
"Arabinose","Arabinose",-6.51322695529234,-0.308369682735261,0.98514791225761,0.98514791225761,5.08572491483518
"Asparagine","Asparagine",-6.26420080332242,-0.268943123939509,0.910893781496107,0.910893781496107,4.70239559124376
"Aspartate","Aspartate",-1.10514029266903,2.83468580285381,0.214484784565282,0.214484784565282,1.10725567109711
"Citrate","Citrate",-4.76678427240617,-1.2107868357696,0.560455100152163,0.560455100152163,2.89329189152761
"Cytidine","Cytidine",-3.77478202695355,-1.38539253713205,0.374628444212378,0.374628444212378,1.93398086605153
"Ferulate","Ferulate",-6.46846445017788,-0.387682705486492,0.972962813543448,0.972962813543448,5.02282059422577
"Fructose","Fructose",-5.62202116106458,2.07479447177658,0.83209884694476,0.83209884694476,4.29562483446242
"Galactose","Galactose",-6.50630360505072,-0.3634292765766,0.983916401584074,0.983916401584074,5.07936736746858
"Glucose","Glucose",-5.21827142099235,2.0688700624555,0.730117916477241,0.730117916477241,3.76915875514222
"Glutamate","Glutamate",-5.15320155796941,1.9225215314711,0.700946069022069,0.700946069022069,3.61856208882584
"Glutamine","Glutamine",-6.35125415210735,-0.511005317593368,0.94071461348299,0.94071461348299,4.85634257354945
"Inosine","Inosine",-4.98610183429031,-0.264165153586717,0.577665214419075,0.577665214419075,2.98213733882072
"Malate","Malate",1.91670317929507,4.64726823215363,0.585539924578911,0.585539924578911,3.02278972122816
"Maltose","Maltose",4.93756549921889,-1.01051693663621,0.588548493495784,0.588548493495784,3.03832114925857
"myoInositol","myoInositol",-5.10105585902109,2.40170562906065,0.73656815777078,0.73656815777078,3.80245746333121
"NADP","NADP",2.64931305350395,-1.84808858951578,0.241768411774992,0.241768411774992,1.24810459433089
"Phenylalanine","Phenylalanine",-3.77790756334648,-1.71456601008677,0.398819215954007,0.398819215954007,2.05886324059116
"Sucrose","Sucrose",-3.14518281195911,1.79090850015491,0.303523458842,0.303523458842,1.56690868210058
"Threonine","Threonine",-6.39887958848002,-0.285774444146013,0.95062631543219,0.95062631543219,4.9075107168549
"Thymidine","Thymidine",5.9753641611374,-0.103256107562001,0.8275514996706,0.8275514996706,4.27214962120677
"transAconitate","transAconitate",4.34833271198428,3.75214038985045,0.764317088163696,0.764317088163696,3.94570846645811
"Trehalose","Trehalose",6.45158192972338,0.501737438792549,0.970259263539017,0.970259263539017,5.00886379500307
"Tryptophan","Tryptophan",-6.30782784426044,-0.465974846921265,0.926957529632518,0.926957529632518,4.78532304112869
"Tyrosine","Tyrosine",-6.36224756803993,-0.50743619788983,0.94386881944014,0.94386881944014,4.87262583784226
"Uridine","Uridine",-6.30571174128711,0.446723321694475,0.925931945304117,0.925931945304117,4.78002856736864
"Xylose","Xylose",-4.8038950885762,-0.0506243022313129,0.53477594654692,0.53477594654692,2.76072589848523
