"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090"
"62","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Albifimbria_Albifimbria_verrucaria_6b7a936f14e93d71e00a46a6c4062ee2",30,0,0,7,0,1,0,0,0,6,12,3,0,23,9,0,4,1,0,2,0,1,22,0,67,48,0,0,0,10,0,0,0,0,0,0,28,2,154,0,21,39,0,31,0,0,0,48
"63","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Podosporaceae_gen_Incertae_sedis_Podosporaceae_sp_b6112ab0cbf794f7a2a2f776878bd37f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"64","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_70052593f4ccecce2d1079fcb8e20edd",223,0,0,21,21,18,0,12,26,25,21,27,3,173,128,41,9,15,0,24,18,0,0,31,113,26,53,0,10,15,17,0,0,0,0,25,17,19,38,49,2,10,6,0,9,0,0,7
"65","Fungi_Basidiomycota_Agaricomycetes_Cantharellales_Ceratobasidiaceae_Thanatephorus_unclassified_168b7087ff5587e329140638f41ea137",0,3,16,23,115,31,24,16,411,7,4,38,56,30,21,53,27,39,15,2,31,88,0,3,9,22,60,122,0,19,56,72,24,18,13,72,8,25,109,39,37,2,23,4,41,56,6,2
"66","Fungi_Ascomycota_Sordariomycetes_Xylariales_Xylariaceae_Ascotricha_Ascotricha_guamensis_f598dd2c35a26b38462ace9fa0ae80e4",44,4,5,25,57,15,33,31,63,9,1,7,2,9,14,8,17,16,44,0,25,22,28,32,3,5,18,6,9,33,52,7,9,18,43,62,6,12,11,46,2,0,63,15,40,32,89,30
"67","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_99efce9656ff9756cdc469b589eed53b",81,166,13,0,0,0,0,75,506,0,0,0,57,26,0,0,54,0,0,0,160,0,113,0,26,15,0,38,53,16,95,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,65,21
"68","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_da3ba9132949ff5755979100a5abe50b",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,53,1179,0,0,0,0,0,0,392,0,0,0,0,0,0,59
"69","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Sarocladium_Sarocladium_sp_571924899d89894769af5be8b189d164",0,0,1528,0,214,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_sclerotigenum_7dc7bd97d9ee8c14bebb3acce7cd6c2f",17,3,0,6,24,7,0,17,0,42,5,11,2,25,52,6,1,19,0,9,0,3,21,0,9,5,13,0,13,0,202,0,0,0,4,2,18,11,5,3,55,283,3,366,8,13,11,51
"71","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_unclassified_unclassified_b00ac03587600b6303a38b88ba8c8ef2",15,0,0,47,0,8,0,0,0,0,0,0,0,0,0,319,0,0,0,22,0,0,0,0,0,52,107,0,0,0,225,0,227,0,0,0,0,0,3,66,0,7,0,18,0,0,0,0
"72","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_unclassified_unclassified_0056736d8b93aa02956e410e559e03a6",17,12,9,19,9,12,0,23,14,10,31,24,27,25,28,24,46,23,14,21,7,0,0,12,43,17,42,7,23,80,31,16,5,3,34,46,10,35,32,33,10,0,36,8,11,0,33,12
"73","Fungi_Ascomycota_Sordariomycetes_Sordariales_Neoschizotheciaceae_Neoschizothecium_Neoschizothecium_curvisporum_a27b2f3136cbcfa2fcba5c9bc97f19d1",0,0,0,55,23,11,0,25,27,17,47,4,14,51,51,58,18,12,0,61,0,0,0,13,40,16,19,11,0,19,0,0,0,0,0,44,22,0,48,24,16,0,17,0,23,17,0,16
"74","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_5b4b69dc0b4d821528a28461b0d8e28c",104,0,0,0,0,0,0,0,0,76,0,0,40,0,73,0,0,0,34,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,70,0,0
"75","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_unclassified_226ded8c73006c34d56970a66bd86cb1",11,0,1,0,0,6,0,0,0,4,2,0,0,31,0,2,0,56,0,5,0,0,32,4,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,63,309,15,13,0,0,8,29
"76","Fungi_Ascomycota_Eurotiomycetes_Onygenales_Arachnomycetaceae_Arachnomyces_Arachnomyces_pilosus_774f24b86f439b1017e45381b2907628",38,0,0,13,42,5,0,0,0,7,0,0,0,0,0,0,49,0,134,0,30,0,23,0,0,0,11,0,0,101,33,11,103,35,188,21,6,0,0,0,10,0,60,0,0,386,0,0
"77","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_7b73f573f34a5cb423d321b896c75968",0,0,42,0,0,0,165,0,0,0,0,0,10,0,0,0,104,0,0,0,20,0,0,0,0,0,0,0,0,148,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,81,0
"78","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Canariomyces_Canariomyces_arenarius_3beb817f7862a04358f2cddb1fe0f92a",19,23,13,0,22,9,27,25,26,9,0,22,9,23,14,11,0,14,23,0,0,0,13,12,15,5,0,0,0,54,32,5,0,6,17,29,138,17,0,26,0,0,23,0,12,0,20,6
"79","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Amesia_Amesia_atrobrunnea_86ab26fc9559b6afb4523a326e3758a8",12,6,2,22,15,7,17,0,20,25,14,20,4,7,3,14,2,4,7,31,4,0,17,6,9,5,25,12,18,15,8,31,14,5,0,22,51,14,11,14,0,10,0,0,4,9,0,0
"80","Fungi_Ascomycota_Leotiomycetes_Helotiales_Myxotrichaceae_Myxotrichum_Myxotrichum_deflexum_b11ed5999ca8e42774fa1f979589d79b",16,52,3,22,36,3,46,7,19,4,11,5,3,6,3,0,9,1,0,22,20,21,44,6,17,0,5,4,10,37,41,6,12,0,3,16,11,10,7,3,9,0,15,0,30,9,45,7
"81","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_8dbabaa13ab019c8f8dd1173a7a7c6b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Paracremonium_Paracremonium_inflatum_0d08341a4ed049ed9afefb928b1fcb96",8,0,0,6,0,4,42,0,14,0,7,0,12,0,14,0,0,0,16,18,94,44,6,0,24,0,19,3,14,72,31,0,14,7,0,0,8,0,0,43,18,27,28,0,11,6,0,19
"83","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_arcana_f7097410bdc5b2494a59cf53befb39fc",0,0,0,0,23,0,0,26,0,0,0,0,41,51,9,20,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,2,0,22,0,82,0,63,0,12,0,30,32,0,0,0,0
"84","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_Alternaria_sp_0d28e1bb97e7e89fd3c7d1f88af77000",0,0,0,16,0,0,0,0,7,0,0,0,0,0,52,15,0,10,0,14,0,0,0,0,19,18,0,0,7,7,0,2,8,0,0,7,30,0,31,0,0,0,0,0,19,34,0,0
"85","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Zygopleurage_Zygopleurage_sp_eccdc8504c3be0a0317f855aa4da23a2",9,0,0,259,0,8,0,0,0,0,0,8,0,0,7,243,0,42,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,8,11,0,0,0,14,0,0,9,0,93,0,6
"86","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_503a3f4de445493535f9fd4491b7ac2e",0,0,65,16,0,7,0,0,0,0,10,0,0,0,0,0,111,0,0,0,0,572,0,0,0,0,0,8,0,0,134,77,0,0,0,0,9,0,0,0,0,0,0,0,0,33,0,0
"87","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_32e22e511bf5728277a1f9fd95bc1a70",290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,93,31,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"88","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_ced2c34c85c5e48afbb81480c37b38d4",23,4,0,0,0,9,0,0,0,0,18,2,0,6,0,0,0,6,0,0,0,0,24,13,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,162,5,10,0,0,0,19
"89","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_unclassified_3337b252837c394adcd73ead4c097a6e",0,0,0,0,0,0,0,0,0,1,0,0,3,36,0,0,0,10,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,0,0,0,0,0,54
"90","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Pithoascus_Pithoascus_sp_d2ad2d924043eade180170560ff78cdd",5,66,0,0,6,0,20,4,0,2,0,27,0,0,19,10,10,0,0,0,88,20,40,0,4,0,5,0,10,57,63,21,7,0,0,19,8,4,12,3,0,3,0,7,21,11,38,0
"91","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_44d350b5b3a140a693b38c2784eee484",53,59,83,0,0,49,0,41,46,0,40,0,48,60,0,0,36,29,0,0,45,49,0,0,0,0,64,21,0,0,45,0,0,13,0,55,0,56,40,29,25,12,0,8,0,120,91,0
"92","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_ebd22203707577101721bca6e9038c1f",69,15,0,4,6,0,0,42,2,11,3,9,4,0,15,7,80,2,11,6,22,4,0,4,17,8,4,0,47,13,8,2,0,1,0,13,5,9,5,8,9,1,9,8,0,10,0,0
"93","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_9068c3f1f2c67d9b5532230e9d8eee77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,8,0,0,30,0,0,319,0,0,0,0,3,0,0,0,4,0,0
"94","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_838358b35f92a101a834fdeffa576e92",0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"95","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5951a7f81b2f0eacaa9f1a66a2ebc6d0",0,4,0,0,2,0,0,0,0,0,0,5,18,3,0,75,62,4,0,2,7,52,0,4,9,15,0,21,0,0,79,0,0,0,11,2,0,0,14,11,0,0,18,0,65,0,0,0
"96","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_piperis_c829fbe61c3edf1e62c627b8b0b26c4a",0,0,0,15,0,14,0,0,0,0,61,9,0,0,0,15,0,0,0,0,0,0,0,0,27,0,4,0,0,0,22,0,0,0,0,0,12,0,10,0,19,24,0,0,0,0,0,18
"97","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2eb319753ed2db89c070456d74efc7c9",0,0,0,0,0,16,228,0,125,0,0,10,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,119,0,0,0
"98","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_kyushuense_da7420238c329b42c99e09dbb79c7471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0
"99","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_988dc58581cd181a274aa48c6ebf196a",0,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_sp_2618724a43b62712d10467d2dd1e7c3e",7,0,0,2,0,7,2,0,3,0,3,0,0,0,5,0,0,14,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,74,16,12,0,0,0,10
"101","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_6572f85164ecd388f71d5185981a3236",0,0,0,41,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,55,0,9,0,0,0,0,0,102,0,10,0,0,143,19,0,9,0,0,0,0,0,0,0,0,3,0,0,0
"102","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Bipolaris_unclassified_a20e2909d945774135d2e9eb3c939d20",0,0,0,5,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,11,7,0,6,0,0,0,10,0,0,0,0,15,0,0,8,0,0,0,0,0,2,0,0
"103","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_7d024113792c47324c769ae1b3d0f091",0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_0fd336f3455c975119dd6695005fa71d",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,25,0,0,0,0,10,250,0,0,0,0,0,0,277,0,0,0,12,0,35,0,0,0,2,0,0,0,0,0
"105","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_unclassified_unclassified_b5eb4ec891f5ff91e3d163f830d4616a",343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_Monosporascus_sp_cae8212e0d1ea24c2cbe552c8803f87a",0,0,0,0,15,8,0,12,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,13,47,0,105,0,0,48,0,0,17,0,7,0,0,65,31,0,69,180,4,0,0,12,0,2
"107","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_e06f821ebdfac7c580a0929d826cd432",0,0,25,0,0,0,0,0,0,0,12,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,65,0,15,15,0,30,0,0,0,22,0,0,35,0,18
"108","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_Alternaria_hungarica_3b4c384c991a28e6d77e151b58e40591",0,0,0,13,0,3,0,0,6,2,4,1,0,5,1,4,0,0,0,52,0,0,0,0,3,5,0,0,0,0,0,0,28,0,0,0,0,2,12,0,0,4,0,0,0,0,0,6
"109","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Alfaria_unclassified_6b9af80fabd3e144f4a5d78341bfd7cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,1,0,0,0,0,0
"110","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_ecdef9c20a596f8924124d0883a2dbd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,95,0,0,0,0,0,54,0,0,51,0,0,27,34,89,0,0,0,0,0,0,0,0,0,0,0,28
"111","Fungi_Basidiomycota_Agaricomycetes_Cantharellales_Ceratobasidiaceae_unclassified_unclassified_69ba6dd13a513011eeaab2dfa0e150fa",0,0,0,0,357,10,0,0,0,0,0,0,0,0,0,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,0,0,0,12,0,0,0,0,0,216
"112","Fungi_Ascomycota_Eurotiomycetes_Onygenales_Arachnomycetaceae_Arachnomyces_Arachnomyces_pilosus_8d487f5eb1a6285f847ac9e1a8539f5d",0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,22,0,0,0,7,0,15,0,0,0,0,0,7,31,0,0,0,0,0,0,0,0,5,0,20,0,22,0,0,0,0,0,0
"113","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_3755060e188aeab34219fbb11bdac4e0",0,0,0,0,4,0,613,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"114","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5e14a5ea38097fab98a93b366b2eac37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
"115","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_c4d4785dead27fc2f245ccf4248a04ee",115,0,0,0,0,61,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,11,0,0,0,0,0,0,0,25,0,0,0,79,0,0,0,0,0,0
"116","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_ambigua_6ad7d1571580fa85052b62c9af2d8844",0,12,2,83,5,1,9,1,7,0,50,4,0,0,2,0,0,4,27,12,65,4,11,0,0,0,0,0,0,0,1,0,3,10,0,3,49,0,25,0,22,0,1,18,0,27,0,0
"117","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascodesmidaceae_Cephaliophora_Cephaliophora_sp_3902fa8da746b3cfbe383b00521d338c",78,0,0,55,8,0,5,3,0,4,5,15,6,2,6,0,45,11,0,0,44,0,0,5,36,0,1,4,0,8,7,3,0,0,7,25,2,7,0,10,1,2,2,31,12,32,0,7
"118","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_flavus_2f9297cdaa96a84c203bafc26ad7ef58",0,0,0,83,0,0,0,0,0,4,14,0,0,0,0,0,3,0,0,0,17,8,0,0,21,14,0,0,26,0,36,0,0,0,0,10,12,0,21,0,6,0,0,0,4,34,28,0
"119","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_7b34a0d4f90d284ef86532785de39a5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,78,0,0,0,0,0,0
"120","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Canariomyces_Canariomyces_arenarius_46f9869099d8964a5f9af5184b8b1b22",0,0,0,34,21,0,0,0,0,0,6,19,0,0,0,0,44,0,0,12,19,15,0,0,0,0,12,11,40,0,0,0,17,0,0,0,32,0,35,0,6,11,0,0,0,10,0,0
"121","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_946ecfae9b914145c37abf350d5e51f0",0,301,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
"122","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_bb27b76d8adc795671568329ee0545bd",0,0,0,0,0,0,0,0,0,4,0,0,9,10,0,21,0,4,0,0,0,0,0,9,41,0,76,0,0,0,7,0,0,0,0,12,0,0,0,0,0,25,13,0,0,10,0,0
"123","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Paracremonium_Paracremonium_inflatum_0c5468ffccf03006f0e0ed81a7604f56",0,17,4,0,8,0,19,17,13,0,0,6,0,8,11,3,0,7,0,16,85,7,0,0,0,8,0,0,0,0,0,4,0,0,11,9,0,0,5,11,5,0,0,0,17,0,31,0
"124","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_globosa_814c4e99bc4e7a376311891f112f5eeb",75,20,5,0,6,0,0,17,5,0,0,5,0,0,0,3,9,0,0,3,93,0,39,0,0,0,0,0,2,2,9,0,0,0,179,11,0,0,5,11,1,0,0,16,2,4,0,0
"125","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_1f533a953cf14039236f3fa826b1e083",0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,12,13,0,0,0,0,0,14,0,9,0
"126","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e222ea09efd35d5da17adf1dd6f5abb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_wolfii_31f95534b4b66a435bb511db12e2caca",0,0,0,4,0,9,0,7,0,0,0,1,4,16,0,0,0,19,0,5,17,8,45,0,0,0,6,1,0,0,4,11,0,0,5,10,0,0,22,3,0,0,2,0,0,0,0,3
"128","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_cf7eebbf15ad2583e6df48d41e76cde7",0,0,0,0,0,0,0,42,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,26,0,0,0,14,50,0,0,0,0,0,21
"129","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_5f81f20047c3fb5f68cf40c997c3f907",0,0,0,0,0,0,473,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Fungi_Rozellomycota_Rozellomycota_cls_Incertae_sedis_Rozellomycota_ord_Incertae_sedis_Rozellomycota_fam_Incertae_sedis_Rozellomycota_gen_Incertae_sedis_Rozellomycota_sp_56e7afe934c9fede8971f14af3acd92b",6,14,0,0,5,5,35,0,0,0,6,0,2,12,0,0,6,0,0,0,0,11,0,6,6,0,4,0,6,23,5,0,0,19,0,0,0,0,0,0,17,0,14,21,9,0,13,1
"131","Fungi_Basidiomycota_Agaricomycetes_Agaricales_Pluteaceae_Volvariella_unclassified_961f316417631312b4a3b483d1101414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0
"132","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_18a0cb9c1a1b24adfa0cfe243b109968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
"133","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Rhizophagus_unclassified_68adf083cd595a75c31803dfb7bd8876",0,17,0,38,37,0,0,0,0,9,0,0,0,0,0,50,0,31,0,0,0,106,0,0,0,0,93,0,0,0,39,28,0,0,0,0,25,0,0,0,36,14,0,0,0,0,0,0
"134","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Microascus_Microascus_alveolaris_4e6cdf7d884d86fba1833ae3aecda2f1",0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_c61655c3897573ba20793038b7cf8cb1",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Fungi_Ascomycota_Sordariomycetes_Lulworthiales_Lulworthiaceae_Lulworthiaceae_gen_Incertae_sedis_Lulworthiaceae_sp_71f3d2c3942a985b375cb65b81dcb1ef",0,0,0,0,48,0,22,0,0,0,9,0,0,0,17,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,11,0,0,0,0,13,0,0
"137","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_6c6ee7442c8590fbb997d6d463d030ae",90,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_8c0c9393ac87ed2af73d02bebeb11fbe",0,216,0,4,12,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,8,0,14,4,0,0,0,0,0,0,0,23,2,6,11,14,3,0,0,0,29,0,0,0
"139","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_861fa7868a75fdc2269d2fa7bbc85573",0,0,0,9,0,0,29,0,20,0,0,0,8,12,2,0,57,0,0,10,0,22,10,0,35,0,0,0,0,35,0,12,11,5,0,0,4,0,0,0,0,9,19,0,15,0,10,0
