"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"14","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",97,49,184,43,38,35,160,105,127,50,82,147,90,101,180,168,139,84,134,74,198,280,79,108,45,191,113,128,141,126,91,78,264,165,45,45,239,30,23,57,68,44,42,101,89,68,130,94,51,83,137,110,218,131,213,129,43,119
"15","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",26,24,27,0,22,14,0,38,29,32,28,194,45,31,0,18,20,26,49,64,19,55,0,43,15,198,51,132,33,53,17,21,84,36,18,8,37,27,12,27,48,0,21,0,76,28,18,29,35,86,230,30,0,78,13,11,40,28
"16","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",142,53,115,62,84,125,78,31,112,103,57,106,75,80,57,69,130,55,122,130,108,49,91,119,66,97,92,137,91,143,143,118,141,107,61,0,94,89,43,83,111,85,55,103,117,73,115,111,37,180,103,104,62,66,131,114,46,55
"17","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",257,103,0,0,61,7,0,0,69,0,36,0,0,0,13,0,0,65,35,0,26,186,165,88,94,0,10,36,0,0,22,77,132,240,18,40,111,0,0,156,53,383,0,0,0,0,136,0,6,238,0,504,13,62,116,241,0,0
"18","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",0,66,58,45,18,28,69,0,0,191,134,58,74,68,57,0,167,88,304,40,383,89,63,0,0,31,288,36,65,47,65,0,69,36,83,60,49,17,142,159,218,78,79,51,159,61,219,76,115,79,61,21,352,94,27,126,0,67
"19","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",100,61,43,67,100,186,89,121,157,52,72,71,54,37,81,82,88,46,128,179,49,124,41,171,47,93,81,82,80,118,82,91,75,97,51,46,95,73,53,22,58,13,31,80,65,30,66,68,37,100,115,133,65,42,74,130,66,81
"20","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",39,26,0,35,34,112,21,79,90,52,44,72,47,50,119,51,69,25,38,60,22,101,44,52,32,42,65,117,61,38,64,48,144,67,26,134,60,32,16,16,50,0,37,40,83,35,90,80,16,97,247,98,48,56,59,33,32,54
"21","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",71,33,99,54,36,82,69,0,93,46,26,57,37,70,53,0,39,19,35,184,41,49,0,157,33,22,33,58,71,235,64,42,87,87,48,48,38,273,0,0,81,7,19,54,57,27,20,47,38,86,460,103,72,63,29,23,10,79
"22","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",56,65,205,31,30,38,42,75,66,63,86,475,259,109,207,88,137,44,48,66,71,117,61,66,15,98,101,46,95,143,107,38,94,79,54,32,53,42,98,48,82,120,127,39,90,249,150,70,70,48,15,78,63,171,29,148,25,113
"23","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",0,0,376,202,0,0,245,222,0,146,121,0,129,0,0,40,216,0,0,204,152,0,0,0,0,16,0,54,176,0,0,0,53,0,0,0,0,0,290,498,109,0,164,0,34,0,0,451,372,0,0,83,287,25,0,0,0,0
