"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"24","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",0,0,0,51,0,1639,0,0,0,248,0,140,293,0,0,0,273,0,501,274,0,0,0,0
"25","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",113,116,63,611,1467,512,414,166,229,120,47,330,227,201,26,251,757,68,490,440,94,375,146,215
"26","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",32,0,203,38,0,0,118,0,310,42,17,0,22,7,0,77,14,0,12,156,590,36,335,293
"27","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_e44576938f7308623896e3cc195e0d53",1009,126,0,405,136,0,144,794,0,32,0,52,53,25,726,127,9,12,0,290,11,0,22,29
"28","Fungi_Ascomycota_Dothideomycetes_Pleosporales_unclassified_unclassified_unclassified_c5e068be2668e67b64c83f3503976c92",70,79,70,68,102,67,80,63,40,105,41,188,70,92,55,70,114,110,71,52,78,108,47,81
"29","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_2ded4ab4778f5c3fdbb213b17ac22349",184,200,79,111,0,73,88,119,170,89,143,105,82,172,78,60,60,103,56,83,120,195,115,84
"30","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_b1709734b7dcde8d041339c8d3507f1e",0,1342,163,3061,3,165,0,0,0,6,0,10,716,116,0,1556,775,0,0,702,30,52,176,1246
"31","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_51121d174235724d93d9ad2496a65689",56,231,98,74,33,56,134,49,118,86,82,91,86,62,40,157,33,99,42,57,477,69,123,98
"32","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_b91d6310355ef9aadd0485f95502e441",8,15,71,209,15,123,112,141,59,29,16,7,43,32,211,36,148,58,47,63,63,183,41,82
"33","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_35c351e1f2a05ba247a822b85fb2f2fd",565,197,0,298,83,0,41,576,148,0,0,80,17,61,626,34,0,0,0,130,0,0,0,17
"34","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_b836e22d01ed6a62b260f01262127a38",50,16,44,63,131,64,57,50,49,132,67,82,29,113,31,77,105,97,116,33,26,78,0,50
"35","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_677f39cb0b5f073bab4e5b5ceb33d96f",9,57,34,134,645,11,40,19,81,42,0,247,9,473,0,0,16,14,542,197,37,24,121,0
"36","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Sporormia_Sporormia_sp_d6f397d83d1695a6493662475a7808af",62,16,0,212,0,6,0,33,17,0,7,33,108,0,4,235,53,0,0,16,145,100,23,0
"37","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_6d4c8253e4fc945fe2bdca5b551c32e7",69,106,41,59,232,41,94,184,83,25,34,50,76,148,43,52,117,107,69,70,58,73,0,33
"38","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_0712f4c204fb2be1538e6783b0a5ff89",104,17,52,76,45,57,12,49,71,167,165,48,55,93,25,52,70,176,116,31,34,82,15,72
