"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"25","Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_4348f9aa3de7e33e5591b394f28572cc",130,92,82,123,118,96,77,83,126,139,95,156,71,118,127,112,173,131,111,110,146,148,169,95
"26","Bacteria_Actinobacteria_Acidimicrobiia_Acidimicrobiales_AKIW874_unclassified_unclassified_922edc6d7de65fa8318a230f1d9fdd6c",99,112,137,83,167,115,110,97,80,81,85,101,140,81,114,147,50,69,64,84,135,113,80,123
"27","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_unclassified_unclassified_a5120033e56dff33eb70079fee882a45",151,236,131,96,119,72,112,152,87,390,113,148,246,157,206,60,176,121,64,111,194,152,91,76
"28","Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_4c8ff0ea98d2c0ebb486e33bd96c61f9",238,109,63,144,156,194,149,167,101,149,90,147,97,157,97,70,142,76,90,149,165,136,174,128
"29","Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_c471b243ae160f3817bd392932447fce",80,157,109,105,164,141,109,101,157,116,137,87,117,173,79,150,135,182,196,144,81,173,131,214
"30","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_flexus_225c214be44851578ee9fbe5f47a2c6f",196,94,133,151,216,111,133,142,85,187,124,143,85,134,215,71,220,267,74,95,139,114,108,102
"31","Bacteria_Actinobacteria_Actinobacteria_Micrococcales_unclassified_unclassified_unclassified_08f626e184165aaea3e4898bd321586f",149,97,124,105,195,85,119,71,109,126,114,70,90,90,108,153,75,84,67,65,115,145,76,134
"32","Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_Gaiellaceae_unclassified_unclassified_02557bc67a4a5b25f2a65ac392f38af3",72,89,107,80,150,127,109,79,72,164,115,141,82,88,98,121,68,110,114,121,88,100,95,86
"33","Bacteria_Chloroflexi_Ellin6529_unclassified_unclassified_unclassified_unclassified_b430752b27d747ec900255d78d865669",103,87,160,70,99,129,88,110,85,181,109,123,89,115,119,137,78,143,156,99,162,265,70,95
"34","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_endophyticus_3f67b844e7c311462ac34b66a7faab31",190,111,103,95,182,89,86,89,97,143,132,137,62,131,109,120,127,168,98,123,111,112,137,93
"35","Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_e83a76f08c138356547feff3cac7a69b",106,118,113,99,126,98,81,88,124,80,164,63,112,71,65,152,87,161,146,73,97,136,57,179
"36","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_muralis_8adb5559e135233565acfea1287280bf",94,64,69,126,155,117,85,74,114,120,103,95,40,88,50,107,258,133,127,133,68,121,117,95
"37","Bacteria_Chloroflexi_Thermomicrobia_JG30-KF-CM45_unclassified_unclassified_unclassified_cdb9c0ee3bba4c3d8b9292eb575bd9e3",86,142,101,134,114,114,134,79,124,60,152,138,89,79,76,118,24,136,134,127,127,220,120,111
"38","Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_ef3fdbe1dcde754d91130cde6a4b4d61",96,103,70,118,128,114,108,79,75,79,97,122,79,142,81,101,113,96,132,83,95,122,114,77
"39","Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_unclassified_unclassified_125358a86cc2e5136055d5376d193488",233,102,176,128,105,117,164,137,142,144,150,170,211,92,106,167,90,121,93,116,125,139,126,120
"40","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_ec166513706852541cc5bf82ec2cb3cd",89,87,72,97,136,112,109,52,87,73,97,109,74,81,83,105,139,87,114,106,101,135,118,92
"41","Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_5ac01de94ebfe35e4bf63d83d5f9558f",83,70,81,122,82,108,95,93,110,131,129,109,81,95,71,108,148,78,121,89,84,109,88,100
