"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"55","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_dc0dc02f5ef43ca3847a8f849a496016",0,132,0,0,7,3,44,0,0,0,0,40,0,0,0,17,0,0,0,0,0,3,11,4,6,0,7,7,0,0,0,0,0,2,0,114,0,0,1,0,0,163,0,108,5,5,5,1,2,0,26,0,0,2,0,104,4,0
"56","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_b507e13497e2a6f98e3dd5b7b2672171",35,16,0,41,16,0,25,0,0,35,0,33,30,48,0,36,0,17,38,8,36,29,20,12,0,32,0,0,30,28,18,6,24,14,19,19,12,32,18,0,12,25,10,29,0,0,51,21,24,72,14,0,25,27,829,39,0,23
"57","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_bee891f9fa6a42e81089047930a19ed5",0,0,0,7,0,7,0,0,0,8,14,0,10,30,0,0,11,9,2,0,6,2,23,37,0,4,0,2,1,0,0,115,198,29,9,0,5,0,0,0,6,0,0,0,17,0,0,0,7,1,83,0,1,0,0,0,0,0
"58","Fungi_Ascomycota_unclassified_unclassified_unclassified_unclassified_unclassified_1e9048af1082f6a89f87019be9303023",0,224,0,23,10,0,250,0,0,0,0,94,20,95,11,6,0,0,22,0,0,0,0,61,23,0,0,0,3,0,37,14,0,83,4,0,9,0,0,0,0,0,30,0,0,0,25,19,0,0,0,13,0,0,40,19,0,0
"59","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_4026253564bfc3341c2172f0811c92c6",2,2,0,0,6,0,0,7,1,0,29,15,0,6,0,6,0,0,0,11,0,0,0,0,22,0,0,0,16,114,0,0,0,0,146,0,0,0,0,3,0,94,0,0,0,0,0,0,18,0,2,0,0,0,0,13,0,0
"60","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_7de0f3867de06fe07f3694dbe10b7f32",36,0,0,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,12,0,0,6,6,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,222,0,0,0,521,0,0,0
"61","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_fusispora_3fda4e2d39ac5f8bc37245b7a47531ce",20,0,0,0,5,37,0,0,0,0,0,42,0,0,0,14,14,0,0,2,0,0,3,7,79,0,9,11,0,0,10,0,10,38,122,0,0,8,0,0,4,0,4,3,0,5,0,0,0,37,38,9,8,0,0,0,0,4
"62","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Albifimbria_Albifimbria_verrucaria_6b7a936f14e93d71e00a46a6c4062ee2",1,7,0,2,2,0,0,0,0,0,4,12,0,3,0,0,3,0,6,0,15,43,41,0,0,68,0,0,4,0,19,1,100,0,23,23,10,0,129,0,0,24,55,1,0,11,3,0,514,0,0,3,0,1,0,62,4,11
"63","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Podosporaceae_gen_Incertae_sedis_Podosporaceae_sp_b6112ab0cbf794f7a2a2f776878bd37f",0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_70052593f4ccecce2d1079fcb8e20edd",16,10,19,12,5,21,7,18,34,21,12,115,39,10,20,0,10,18,6,32,12,85,15,26,0,18,19,13,20,34,15,16,28,13,9,13,20,37,3,16,6,0,8,33,20,10,14,11,3,48,0,13,6,19,52,0,14,5
