FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
f34cd37662694bffe9b1cc0b9ad17625,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
0dc79b65eeb707a695aca341ac37d2a9,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
8344d2a7467a5d8acd26170b182e6002,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
15b9c906e7d0ca15d76b828ede43f153,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
9926ede231d39866b336a1a18c1138a4,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
42bfbe2577fa5475910d71b47fab591a,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
3a4d20e93620fbcf2bf3c992df0c010f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
5cc9a220bb48a6d636d2692f72fe0343,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
3275b7a2240852e67bd9ba3b894a9383,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
37e2062bb8684b32541887a0ccf6271c,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
322700a26a5f2a34a021cb8f0b53648a,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
5be954f782b6df00fc78e6414c42616a,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
2c07392f56452377ba7ca79e686f494c,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
482de3766dcf1ee281b235bfd988f374,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
7e58c40ded9749c2e1bdb5ead3b52bca,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
8c41be9cca1bebf7985040d6fed096ff,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
b33d22b90d5f19c4bbe5a07207d03ad0,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
afe360f3853cd2906adad52b059a9f93,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
