"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P8_A_High_S2_Sept_root",-0.786047009750663,-0.000384364746788797,"P8","A","High","S2","Sept","root"
"P8_A_High_S2_Sept_soil",0.706615500093984,0.005685401961449,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_root",-0.808926340396079,0.0527838869242159,"P8","A","High","S3","July","root"
"P8_A_High_S3_July_soil",0.785180353281586,0.0589222338604948,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_root",-0.791182214129963,-0.0271020448216716,"P8","A","High","S3","Sept","root"
"P8_A_High_S3_Sept_soil",0.643879993366849,-0.14173345408906,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_root",-0.703407535448727,-0.00601762351471353,"P8","C","High","S1","July","root"
"P8_C_High_S1_July_soil",0.379140555903542,0.262534290070099,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",0.628251826000359,0.220764442768866,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_root",-0.758017619788505,-0.0836385469265497,"P8","C","High","S3","July","root"
"P8_C_High_S3_July_soil",0.627427375073363,0.230169129454424,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",0.388543903936504,0.230217454197243,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_root",-0.801926933337821,-0.0392575092093749,"P8","N","High","S2","July","root"
"P8_N_High_S2_July_soil",0.719109295731614,0.119793185250728,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",0.484646182003462,0.0445153840676489,"P8","N","High","S3","July","soil"
